year,level_1,level_2,value
2013,Total,"Total",4724
2013,Total,"No Qualification",1190
2013,Total,"Primary",2045
2013,Total,"Lower Secondary",2525
2013,Total,"Secondary",3727
2013,Total,"Post Secondary (Non-Tertiary)",4019
2013,Total,"Polytechnic",5065
2013,Total,"Professional Qualification & Other Diploma",4841
2013,Total,"University",6532
2013,HDB Dwellings - Total HDB,"Total",3831
2013,HDB Dwellings - Total HDB,"No Qualification",1157
2013,HDB Dwellings - Total HDB,"Primary",1868
2013,HDB Dwellings - Total HDB,"Lower Secondary",2388
2013,HDB Dwellings - Total HDB,"Secondary",3332
2013,HDB Dwellings - Total HDB,"Post Secondary (Non-Tertiary)",3497
2013,HDB Dwellings - Total HDB,"Polytechnic",4573
2013,HDB Dwellings - Total HDB,"Professional Qualification & Other Diploma",4262
2013,HDB Dwellings - Total HDB,"University",5159
2013,HDB Dwellings - 1- & 2-Room Flats,"Total",1287
2013,HDB Dwellings - 1- & 2-Room Flats,"No Qualification",816
2013,HDB Dwellings - 1- & 2-Room Flats,"Primary",986
2013,HDB Dwellings - 1- & 2-Room Flats,"Lower Secondary",1114
2013,HDB Dwellings - 1- & 2-Room Flats,"Secondary",1465
2013,HDB Dwellings - 1- & 2-Room Flats,"Post Secondary (Non-Tertiary)",1911
2013,HDB Dwellings - 1- & 2-Room Flats,"Polytechnic",2064
2013,HDB Dwellings - 1- & 2-Room Flats,"Professional Qualification & Other Diploma",2510
2013,HDB Dwellings - 1- & 2-Room Flats,"University",2055
2013,HDB Dwellings - 3-Room Flats,"Total",2478
2013,HDB Dwellings - 3-Room Flats,"No Qualification",1206
2013,HDB Dwellings - 3-Room Flats,"Primary",1521
2013,HDB Dwellings - 3-Room Flats,"Lower Secondary",1876
2013,HDB Dwellings - 3-Room Flats,"Secondary",2171
2013,HDB Dwellings - 3-Room Flats,"Post Secondary (Non-Tertiary)",2471
2013,HDB Dwellings - 3-Room Flats,"Polytechnic",3274
2013,HDB Dwellings - 3-Room Flats,"Professional Qualification & Other Diploma",3174
2013,HDB Dwellings - 3-Room Flats,"University",3618
2013,HDB Dwellings - 4-Room Flats,"Total",3918
2013,HDB Dwellings - 4-Room Flats,"No Qualification",1200
2013,HDB Dwellings - 4-Room Flats,"Primary",2439
2013,HDB Dwellings - 4-Room Flats,"Lower Secondary",2958
2013,HDB Dwellings - 4-Room Flats,"Secondary",3570
2013,HDB Dwellings - 4-Room Flats,"Post Secondary (Non-Tertiary)",3457
2013,HDB Dwellings - 4-Room Flats,"Polytechnic",4380
2013,HDB Dwellings - 4-Room Flats,"Professional Qualification & Other Diploma",4225
2013,HDB Dwellings - 4-Room Flats,"University",4824
2013,HDB Dwellings - 5-Room & Executive Flats,"Total",5283
2013,HDB Dwellings - 5-Room & Executive Flats,"No Qualification",2241
2013,HDB Dwellings - 5-Room & Executive Flats,"Primary",2939
2013,HDB Dwellings - 5-Room & Executive Flats,"Lower Secondary",3768
2013,HDB Dwellings - 5-Room & Executive Flats,"Secondary",4718
2013,HDB Dwellings - 5-Room & Executive Flats,"Post Secondary (Non-Tertiary)",4742
2013,HDB Dwellings - 5-Room & Executive Flats,"Polytechnic",5444
2013,HDB Dwellings - 5-Room & Executive Flats,"Professional Qualification & Other Diploma",5083
2013,HDB Dwellings - 5-Room & Executive Flats,"University",5981
2013,Condominiums & Other Apartments,"Total",8000
2013,Condominiums & Other Apartments,"No Qualification",2626
2013,Condominiums & Other Apartments,"Primary",4547
2013,Condominiums & Other Apartments,"Lower Secondary",6169
2013,Condominiums & Other Apartments,"Secondary",6870
2013,Condominiums & Other Apartments,"Post Secondary (Non-Tertiary)",6907
2013,Condominiums & Other Apartments,"Polytechnic",7263
2013,Condominiums & Other Apartments,"Professional Qualification & Other Diploma",7700
2013,Condominiums & Other Apartments,"University",8490
2013,Landed Properties,"Total",10409
2013,Landed Properties,"No Qualification",3666
2013,Landed Properties,"Primary",8619
2013,Landed Properties,"Lower Secondary",5699
2013,Landed Properties,"Secondary",9827
2013,Landed Properties,"Post Secondary (Non-Tertiary)",9548
2013,Landed Properties,"Polytechnic",9472
2013,Landed Properties,"Professional Qualification & Other Diploma",9679
2013,Landed Properties,"University",11073
