year,level_1,level_2,value
2013,Total,"Total",10503
2013,Total,"No Qualification",1560
2013,Total,"Primary",3087
2013,Total,"Lower Secondary",4044
2013,Total,"Secondary",6551
2013,Total,"Post Secondary (Non-Tertiary)",7595
2013,Total,"Polytechnic",10902
2013,Total,"Professional Qualification & Other Diploma",9718
2013,Total,"University",16888
2013,HDB Dwellings - Total HDB,"Total",7900
2013,HDB Dwellings - Total HDB,"No Qualification",1517
2013,HDB Dwellings - Total HDB,"Primary",2954
2013,HDB Dwellings - Total HDB,"Lower Secondary",3730
2013,HDB Dwellings - Total HDB,"Secondary",5738
2013,HDB Dwellings - Total HDB,"Post Secondary (Non-Tertiary)",6492
2013,HDB Dwellings - Total HDB,"Polytechnic",9418
2013,HDB Dwellings - Total HDB,"Professional Qualification & Other Diploma",8342
2013,HDB Dwellings - Total HDB,"University",12577
2013,HDB Dwellings - 1- & 2-Room Flats,"Total",1906
2013,HDB Dwellings - 1- & 2-Room Flats,"No Qualification",1025
2013,HDB Dwellings - 1- & 2-Room Flats,"Primary",1389
2013,HDB Dwellings - 1- & 2-Room Flats,"Lower Secondary",1547
2013,HDB Dwellings - 1- & 2-Room Flats,"Secondary",2291
2013,HDB Dwellings - 1- & 2-Room Flats,"Post Secondary (Non-Tertiary)",2615
2013,HDB Dwellings - 1- & 2-Room Flats,"Polytechnic",4419
2013,HDB Dwellings - 1- & 2-Room Flats,"Professional Qualification & Other Diploma",3476
2013,HDB Dwellings - 1- & 2-Room Flats,"University",4624
2013,HDB Dwellings - 3-Room Flats,"Total",5130
2013,HDB Dwellings - 3-Room Flats,"No Qualification",1400
2013,HDB Dwellings - 3-Room Flats,"Primary",2419
2013,HDB Dwellings - 3-Room Flats,"Lower Secondary",2813
2013,HDB Dwellings - 3-Room Flats,"Secondary",4064
2013,HDB Dwellings - 3-Room Flats,"Post Secondary (Non-Tertiary)",5189
2013,HDB Dwellings - 3-Room Flats,"Polytechnic",6616
2013,HDB Dwellings - 3-Room Flats,"Professional Qualification & Other Diploma",6769
2013,HDB Dwellings - 3-Room Flats,"University",9427
2013,HDB Dwellings - 4-Room Flats,"Total",8088
2013,HDB Dwellings - 4-Room Flats,"No Qualification",1896
2013,HDB Dwellings - 4-Room Flats,"Primary",4072
2013,HDB Dwellings - 4-Room Flats,"Lower Secondary",4735
2013,HDB Dwellings - 4-Room Flats,"Secondary",6107
2013,HDB Dwellings - 4-Room Flats,"Post Secondary (Non-Tertiary)",6594
2013,HDB Dwellings - 4-Room Flats,"Polytechnic",8934
2013,HDB Dwellings - 4-Room Flats,"Professional Qualification & Other Diploma",8124
2013,HDB Dwellings - 4-Room Flats,"University",11987
2013,HDB Dwellings - 5-Room & Executive Flats,"Total",11044
2013,HDB Dwellings - 5-Room & Executive Flats,"No Qualification",3602
2013,HDB Dwellings - 5-Room & Executive Flats,"Primary",4114
2013,HDB Dwellings - 5-Room & Executive Flats,"Lower Secondary",6118
2013,HDB Dwellings - 5-Room & Executive Flats,"Secondary",7931
2013,HDB Dwellings - 5-Room & Executive Flats,"Post Secondary (Non-Tertiary)",8258
2013,HDB Dwellings - 5-Room & Executive Flats,"Polytechnic",11360
2013,HDB Dwellings - 5-Room & Executive Flats,"Professional Qualification & Other Diploma",9860
2013,HDB Dwellings - 5-Room & Executive Flats,"University",14223
2013,Condominiums & Other Apartments,"Total",20536
2013,Condominiums & Other Apartments,"No Qualification",2164
2013,Condominiums & Other Apartments,"Primary",6787
2013,Condominiums & Other Apartments,"Lower Secondary",10826
2013,Condominiums & Other Apartments,"Secondary",11231
2013,Condominiums & Other Apartments,"Post Secondary (Non-Tertiary)",12690
2013,Condominiums & Other Apartments,"Polytechnic",16779
2013,Condominiums & Other Apartments,"Professional Qualification & Other Diploma",17218
2013,Condominiums & Other Apartments,"University",23809
2013,Landed Properties,"Total",26058
2013,Landed Properties,"No Qualification",5996
2013,Landed Properties,"Primary",6861
2013,Landed Properties,"Lower Secondary",12663
2013,Landed Properties,"Secondary",21560
2013,Landed Properties,"Post Secondary (Non-Tertiary)",20660
2013,Landed Properties,"Polytechnic",27523
2013,Landed Properties,"Professional Qualification & Other Diploma",19393
2013,Landed Properties,"University",29482
