year,level_1,level_2,value
2013,Total,"TOTAL",100
2013,Total,"FOOD AND NON-ALCOHOLIC BEVERAGES",7.3
2013,Total,"ALCOHOLIC BEVERAGES AND TOBACCO",0.9
2013,Total,"CLOTHING AND FOOTWEAR",2.7
2013,Total,"HOUSING AND UTILITIES",25.5
2013,Total,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",4.6
2013,Total,"HEALTH",4.5
2013,Total,"TRANSPORT",14.1
2013,Total,"COMMUNICATION",3.8
2013,Total,"RECREATION AND CULTURE",6.9
2013,Total,"EDUCATIONAL SERVICES",5.4
2013,Total,"FOOD SERVING SERVICES",13.2
2013,Total,"ACCOMMODATION SERVICES",0.7
2013,Total,"MISCELLANEOUS GOODS AND SERVICES",10
2013,Total,"NON-ASSIGNABLE EXPENDITURE",0.4
2013,Highest Qualification Attained of Main Income Earner - No Qualification,"TOTAL",100
2013,Highest Qualification Attained of Main Income Earner - No Qualification,"FOOD AND NON-ALCOHOLIC BEVERAGES",11.3
2013,Highest Qualification Attained of Main Income Earner - No Qualification,"ALCOHOLIC BEVERAGES AND TOBACCO",2
2013,Highest Qualification Attained of Main Income Earner - No Qualification,"CLOTHING AND FOOTWEAR",1
2013,Highest Qualification Attained of Main Income Earner - No Qualification,"HOUSING AND UTILITIES",42.1
2013,Highest Qualification Attained of Main Income Earner - No Qualification,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",4.9
2013,Highest Qualification Attained of Main Income Earner - No Qualification,"HEALTH",8.5
2013,Highest Qualification Attained of Main Income Earner - No Qualification,"TRANSPORT",3.6
2013,Highest Qualification Attained of Main Income Earner - No Qualification,"COMMUNICATION",2.7
2013,Highest Qualification Attained of Main Income Earner - No Qualification,"RECREATION AND CULTURE",3.5
2013,Highest Qualification Attained of Main Income Earner - No Qualification,"EDUCATIONAL SERVICES",0.8
2013,Highest Qualification Attained of Main Income Earner - No Qualification,"FOOD SERVING SERVICES",12.5
2013,Highest Qualification Attained of Main Income Earner - No Qualification,"ACCOMMODATION SERVICES",0.1
2013,Highest Qualification Attained of Main Income Earner - No Qualification,"MISCELLANEOUS GOODS AND SERVICES",7
2013,Highest Qualification Attained of Main Income Earner - No Qualification,"NON-ASSIGNABLE EXPENDITURE",0.1
2013,Highest Qualification Attained of Main Income Earner - Primary,"TOTAL",100
2013,Highest Qualification Attained of Main Income Earner - Primary,"FOOD AND NON-ALCOHOLIC BEVERAGES",9.8
2013,Highest Qualification Attained of Main Income Earner - Primary,"ALCOHOLIC BEVERAGES AND TOBACCO",1.9
2013,Highest Qualification Attained of Main Income Earner - Primary,"CLOTHING AND FOOTWEAR",1.9
2013,Highest Qualification Attained of Main Income Earner - Primary,"HOUSING AND UTILITIES",33
2013,Highest Qualification Attained of Main Income Earner - Primary,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",3
2013,Highest Qualification Attained of Main Income Earner - Primary,"HEALTH",5.1
2013,Highest Qualification Attained of Main Income Earner - Primary,"TRANSPORT",9.8
2013,Highest Qualification Attained of Main Income Earner - Primary,"COMMUNICATION",4.2
2013,Highest Qualification Attained of Main Income Earner - Primary,"RECREATION AND CULTURE",4.1
2013,Highest Qualification Attained of Main Income Earner - Primary,"EDUCATIONAL SERVICES",3
2013,Highest Qualification Attained of Main Income Earner - Primary,"FOOD SERVING SERVICES",15.6
2013,Highest Qualification Attained of Main Income Earner - Primary,"ACCOMMODATION SERVICES",0.2
2013,Highest Qualification Attained of Main Income Earner - Primary,"MISCELLANEOUS GOODS AND SERVICES",7.9
2013,Highest Qualification Attained of Main Income Earner - Primary,"NON-ASSIGNABLE EXPENDITURE",0.5
2013,Highest Qualification Attained of Main Income Earner - Lower Secondary,"TOTAL",100
2013,Highest Qualification Attained of Main Income Earner - Lower Secondary,"FOOD AND NON-ALCOHOLIC BEVERAGES",9.2
2013,Highest Qualification Attained of Main Income Earner - Lower Secondary,"ALCOHOLIC BEVERAGES AND TOBACCO",2
2013,Highest Qualification Attained of Main Income Earner - Lower Secondary,"CLOTHING AND FOOTWEAR",1.9
2013,Highest Qualification Attained of Main Income Earner - Lower Secondary,"HOUSING AND UTILITIES",29.7
