year,level_1,level_2,value
2015,Total,"Total",1223.5
2015,Total,"HDB Dwellings",979.7
2015,Total,"Condominiums And Other Apartments",170.5
2015,Total,"Landed Properties",69.1
2015,Total,"Others",4.2
2015,No Qualification,"Total",143.4
2015,No Qualification,"HDB Dwellings",136.4
2015,No Qualification,"Condominiums And Other Apartments",2.3
2015,No Qualification,"Landed Properties",4.1
2015,No Qualification,"Others",0.6
2015,Primary,"Total",92.2
2015,Primary,"HDB Dwellings",88.9
2015,Primary,"Condominiums And Other Apartments",1.9
2015,Primary,"Landed Properties",1
2015,Primary,"Others",0.5
2015,Lower Secondary,"Total",116
2015,Lower Secondary,"HDB Dwellings",107.3
2015,Lower Secondary,"Condominiums And Other Apartments",4.3
2015,Lower Secondary,"Landed Properties",3.6
2015,Lower Secondary,"Others",0.8
2015,Secondary,"Total",233.6
2015,Secondary,"HDB Dwellings",205.9
2015,Secondary,"Condominiums And Other Apartments",17.8
2015,Secondary,"Landed Properties",9.5
2015,Secondary,"Others",0.5
2015,Post-Secondary (Non-Tertiary),"Total",120.8
2015,Post-Secondary (Non-Tertiary),"HDB Dwellings",105.6
2015,Post-Secondary (Non-Tertiary),"Condominiums And Other Apartments",9.6
2015,Post-Secondary (Non-Tertiary),"Landed Properties",5.2
2015,Post-Secondary (Non-Tertiary),"Others",0.3
2015,Polytechnic,"Total",85.6
2015,Polytechnic,"HDB Dwellings",69.7
2015,Polytechnic,"Condominiums And Other Apartments",10.9
2015,Polytechnic,"Landed Properties",4.7
2015,Polytechnic,"Others",0.3
2015,Professional Qualification And Other Diploma,"Total",86.5
2015,Professional Qualification And Other Diploma,"HDB Dwellings",66.2
2015,Professional Qualification And Other Diploma,"Condominiums And Other Apartments",14.7
2015,Professional Qualification And Other Diploma,"Landed Properties",5.2
2015,Professional Qualification And Other Diploma,"Others",0.4
2015,University,"Total",345.4
2015,University,"HDB Dwellings",199.8
2015,University,"Condominiums And Other Apartments",109
2015,University,"Landed Properties",35.8
2015,University,"Others",0.7
